SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-4-2021,Single Family Residential,2325 Sterling Pointe Dr,Chesterfield,MO,63005,900000,5,5.5,Dunhill Farm,6572,45302,1999,,137,125,Sold,,,https://www.redfin.com/MO/Chesterfield/2325-Sterling-Pointe-Dr-63005/home/93494840,MARIS,21018859,N,Y,38.6257431,-90.5879716
PAST SALE,April-29-2021,Single Family Residential,17503 Country Lake Estates Ct,Chesterfield,MO,63005,1075000,5,4.5,Country Lake Estates,5755,23522,2000,,187,63,Sold,,,https://www.redfin.com/MO/Chesterfield/17503-Country-Lake-Estates-Ct-63005/home/93477343,MARIS,21009774,N,Y,38.652429,-90.6246729
PAST SALE,April-26-2021,Single Family Residential,16982 Barn Owl Lane Dr Lot 195,Chesterfield,MO,63005,1065000,4,3.5,Fienup Farms,5200,21780,,,205,,Sold,,,https://www.redfin.com/MO/Chesterfield/16982-Barn-Owl-Ln-63005/unit-195/home/182652486,MARIS,21007994,N,Y,38.6595303,-90.6010604
PAST SALE,September-16-2022,Single Family Residential,16974 Barn Owl Lane Dr Lot 197,Chesterfield,MO,63005,1326000,4,3.5,Fienup Farms,5200,21780,,,255,,Sold,,,https://www.redfin.com/MO/Chesterfield/16974-Barn-Owl-Ln-63005/unit-197/home/177477254,MARIS,21084581,N,Y,38.659947,-90.601119
PAST SALE,May-4-2023,Single Family Residential,234 Herworth Dr,Chesterfield,MO,63005,1150000,5,4.5,Forest Hills Club Estates Area 7-A,3526,44867,1984,,326,,Sold,,,https://www.redfin.com/MO/Chesterfield/234-Herworth-Dr-63005/home/93505756,MARIS,23012754,N,Y,38.6118554,-90.5951464
PAST SALE,June-4-2020,Single Family Residential,1179 Patchwork Flds,Chesterfield,MO,63005,939302,5,4.5,Fienup Farms,3410,,,,275,125,Sold,,,https://www.redfin.com/MO/Chesterfield/1179-Patchwork-Flds-63005/home/171979912,MARIS,20038028,N,Y,38.6607561,-90.5986233
PAST SALE,November-9-2020,Single Family Residential,16799 Wills Trce,Wildwood,MO,63005,1799900,5,4.5,Wills Trace,5674,85378,2005,,317,,Sold,,,https://www.redfin.com/MO/Wildwood/16799-Wills-Trce-63005/home/93318359,MARIS,20081959,N,Y,38.6359882,-90.6166177
PAST SALE,June-1-2021,Single Family Residential,1201 Patchwork Flds Lot 199,Chesterfield,MO,63005,1079000,5,4.5,Fienup Farms,5600,21780,,,193,,Sold,,,https://www.redfin.com/MO/Chesterfield/1201-Patchwork-Flds-63005/unit-199/home/174368364,MARIS,21007995,N,Y,38.6606482,-90.596464
PAST SALE,March-1-2022,Single Family Residential,1410 Country Lake Estates Dr,Chesterfield,MO,63005,1195000,6,6.0,Country Lake Estates,6702,36155,1997,,178,63,Sold,,,https://www.redfin.com/MO/Chesterfield/1410-Country-Lake-Estates-Dr-63005/home/93476588,MARIS,21086970,N,Y,38.6494089,-90.6226001
PAST SALE,April-24-2020,Single Family Residential,16941 Lake Mdw Lot 209,Chesterfield,MO,63005,949000,3,3.5,Fienup Farms,4214,,,,225,,Sold,,,https://www.redfin.com/MO/Chesterfield/16941-Lake-Mdw-63005/unit-209/home/174592782,MARIS,20025348,N,Y,38.6574186,-90.6010577
PAST SALE,June-30-2021,Single Family Residential,16933 Lake Mdw Lot 207,Chesterfield,MO,63005,1079000,5,4.5,Fienup Farms,5600,21780,,,193,,Sold,,,https://www.redfin.com/MO/Chesterfield/16933-Lake-Mdw-63005/unit-207/home/174368363,MARIS,21007998,N,Y,38.6572599,-90.6010487
PAST SALE,June-5-2020,Single Family Residential,840 Babler Park,Wildwood,MO,63005,1150000,3,3.0,Wildwood,2387,784080,1986,,482,,Sold,,,https://www.redfin.com/MO/Wildwood/840-Babler-Park-Dr-63005/home/172052309,MARIS,20040085,N,Y,38.620434,-90.675895
PAST SALE,October-29-2020,Single Family Residential,1219 Patchwork Flds Unit Enclave II,Chesterfield,MO,63005,949000,0,,Fienup Farms,4000,,,,237,,Sold,,,https://www.redfin.com/MO/Chesterfield/1219-Patchwork-Flds-63005/unit-Enclave-II/home/174593711,MARIS,20072394,N,Y,38.6606129,-90.5965275
PAST SALE,December-1-2022,Single Family Residential,16978 Barn Owl Lane Dr Lot 196,Chesterfield,MO,63005,1326000,4,3.5,Fienup Farms,5200,21780,,,255,,Sold,,,https://www.redfin.com/MO/Chesterfield/16978-Barn-Owl-Ln-63005/unit-196/home/177948307,MARIS,22005379,N,Y,38.659509,-90.600697
PAST SALE,February-28-2022,Single Family Residential,27 Seven Oaks Dr,Chesterfield,MO,63005,1500000,4,5.5,Forest Hills Club Estates Area 5a,6564,96268,1976,,229,,Sold,,,https://www.redfin.com/MO/Chesterfield/27-Seven-Oaks-Dr-63005/home/93494707,MARIS,22008825,N,Y,38.6219367,-90.5952204
PAST SALE,April-19-2022,Single Family Residential,1205 Patchwork Flds Lot 200,Chesterfield,MO,63005,1286000,5,4.5,Fienup Farms,5600,21780,,,230,,Sold,,,https://www.redfin.com/MO/Chesterfield/1205-Patchwork-Flds-63005/unit-200/home/175869583,MARIS,21046338,N,Y,38.6605889,-90.598261
